id,name,value,category,timestamp
81,Item Theta,3725.23,B,2025-01-22T09:14:10Z
82,Item Epsilon,801.57,B,2025-01-04T20:59:21Z
83,Item Eta,3762.49,C,2025-01-27T06:32:10Z
84,Item Eta,1980.34,B,2025-01-15T22:46:17Z
85,Item Gamma,3513.0,A,2025-01-13T12:11:15Z
86,Item Gamma,2537.67,C,2025-01-23T05:23:04Z
87,Item Beta,2535.68,B,2025-01-08T09:18:35Z
88,Item Theta,2955.48,C,2025-01-28T15:15:04Z
89,Item Beta,2088.75,B,2025-01-12T12:59:25Z
90,Item Epsilon,3697.22,A,2025-01-27T15:53:08Z
91,Item Theta,2752.23,C,2025-01-10T02:10:28Z
92,Item Delta,3087.98,A,2025-01-18T16:12:55Z
93,Item Theta,4324.05,C,2025-01-02T08:46:31Z
94,Item Epsilon,278.71,A,2025-01-17T08:31:30Z
95,Item Alpha,325.49,C,2025-01-26T06:22:52Z
96,Item Delta,818.72,C,2025-01-17T08:32:48Z
97,Item Gamma,3055.42,A,2025-01-14T22:44:00Z
98,Item Gamma,3249.62,B,2025-01-23T20:06:51Z
99,Item Gamma,1206.81,B,2025-01-28T04:26:47Z
100,Item Eta,3477.84,C,2025-01-12T01:17:00Z
101,Item Beta,2387.33,B,2025-01-21T11:04:01Z
102,Item Theta,3866.85,C,2025-01-04T08:39:33Z
103,Item Epsilon,4589.17,A,2025-01-09T17:25:51Z
104,Item Zeta,1811.92,B,2025-01-20T14:54:12Z
105,Item Theta,1511.08,A,2025-01-13T03:00:17Z
106,Item Gamma,1758.87,C,2025-01-14T07:40:15Z
107,Item Gamma,1879.39,B,2025-01-09T23:07:02Z
108,Item Theta,3013.45,B,2025-01-22T16:30:20Z
109,Item Zeta,1318.92,C,2025-01-12T19:32:03Z
110,Item Gamma,4314.02,C,2025-01-01T16:10:32Z
111,Item Zeta,3084.38,C,2025-01-04T06:50:03Z
112,Item Theta,3791.32,B,2025-01-19T02:24:28Z
113,Item Gamma,4864.73,B,2025-01-16T19:34:03Z
114,Item Delta,838.31,A,2025-01-06T20:40:18Z
115,Item Beta,2169.09,B,2025-01-29T11:53:41Z
116,Item Eta,1831.46,B,2025-01-28T09:28:30Z
117,Item Theta,4829.05,C,2025-01-21T19:40:18Z
118,Item Beta,645.85,C,2025-01-27T09:20:09Z
119,Item Beta,4894.55,B,2025-01-02T19:28:32Z
120,Item Alpha,3534.86,C,2025-01-09T22:53:43Z
121,Item Delta,2424.06,A,2025-01-05T18:32:01Z
122,Item Gamma,4101.62,A,2025-01-30T07:01:30Z
123,Item Alpha,960.43,C,2025-01-29T07:10:59Z
124,Item Alpha,1887.57,B,2025-01-17T03:19:42Z
125,Item Zeta,2958.13,A,2025-01-09T11:08:46Z
126,Item Epsilon,4554.26,C,2025-01-17T22:53:36Z
127,Item Zeta,460.33,B,2025-01-09T05:19:30Z
128,Item Theta,4672.54,A,2025-01-03T18:56:20Z
129,Item Beta,3764.01,A,2025-01-25T08:57:13Z
130,Item Delta,1207.19,A,2025-01-08T22:55:49Z
131,Item Zeta,499.17,C,2025-01-07T07:54:41Z
132,Item Epsilon,4333.5,C,2025-01-11T00:54:36Z
133,Item Alpha,1881.89,B,2025-01-01T02:51:50Z
134,Item Delta,1159.64,B,2025-01-29T15:27:10Z
135,Item Beta,3879.62,B,2025-01-23T23:57:16Z
136,Item Zeta,4010.57,C,2025-01-15T08:14:04Z
137,Item Alpha,3565.13,C,2025-01-14T21:26:32Z
138,Item Beta,4589.94,B,2025-01-08T16:35:04Z
139,Item Gamma,199.31,B,2025-01-25T19:27:09Z
140,Item Zeta,4378.44,C,2025-01-02T17:59:25Z
141,Item Alpha,4465.95,C,2025-01-18T20:30:16Z
142,Item Epsilon,2666.38,C,2025-01-09T07:51:08Z
143,Item Beta,2300.7,C,2025-01-09T16:44:22Z
144,Item Theta,3916.17,C,2025-01-06T23:20:12Z
145,Item Theta,4356.85,A,2025-01-02T09:54:26Z
146,Item Zeta,432.26,A,2025-01-21T11:02:36Z
147,Item Zeta,1380.48,A,2025-01-12T05:41:17Z
148,Item Delta,1360.34,A,2025-01-20T04:02:08Z
149,Item Gamma,255.5,B,2025-01-01T09:46:14Z
150,Item Delta,3420.66,C,2025-01-16T02:25:02Z
151,Item Delta,2044.87,C,2025-01-27T18:59:19Z
152,Item Alpha,3894.09,B,2025-01-24T11:12:39Z
153,Item Eta,3227.68,B,2025-01-22T04:07:39Z
154,Item Eta,2155.36,C,2025-01-17T13:20:44Z
155,Item Epsilon,3409.52,C,2025-01-14T22:55:14Z
156,Item Epsilon,3029.78,B,2025-01-21T06:32:28Z
157,Item Theta,3812.56,A,2025-01-28T23:45:52Z
158,Item Alpha,985.8,B,2025-01-29T00:52:32Z
159,Item Zeta,2732.7,B,2025-01-03T19:54:20Z
160,Item Delta,3504.11,A,2025-01-02T00:12:42Z
161,Item Theta,1817.82,A,2025-01-08T03:00:35Z
162,Item Zeta,210.84,C,2025-01-16T08:37:01Z
163,Item Beta,2931.22,C,2025-01-08T03:58:47Z
164,Item Gamma,618.27,C,2025-01-28T03:06:38Z
165,Item Delta,4645.32,B,2025-01-30T15:52:07Z
166,Item Eta,3807.67,B,2025-01-30T23:51:31Z
167,Item Beta,3969.92,B,2025-01-30T07:43:56Z
168,Item Gamma,4485.8,A,2025-01-20T10:11:04Z
169,Item Theta,1901.51,A,2025-01-19T06:55:50Z
170,Item Gamma,125.38,B,2025-01-09T23:58:29Z
171,Item Delta,3056.96,B,2025-01-09T03:36:16Z
172,Item Zeta,3854.27,A,2025-01-25T06:11:14Z
173,Item Eta,4144.92,B,2025-01-06T22:53:13Z
174,Item Beta,2010.81,B,2025-01-22T01:56:39Z
175,Item Eta,896.88,C,2025-01-08T00:45:59Z
176,Item Epsilon,3355.31,A,2025-01-11T00:43:14Z
177,Item Theta,2378.22,C,2025-01-01T18:56:57Z
178,Item Delta,3618.19,B,2025-01-24T07:15:42Z
179,Item Eta,3931.54,C,2025-01-27T03:17:03Z
180,Item Delta,4583.87,A,2025-01-23T04:12:12Z
181,Item Theta,2990.05,B,2025-01-01T15:38:04Z
182,Item Alpha,3306.26,B,2025-01-01T16:21:10Z
183,Item Alpha,771.7,A,2025-01-06T09:44:01Z
184,Item Gamma,2387.01,C,2025-01-06T23:23:46Z
185,Item Eta,4596.42,C,2025-01-17T18:24:53Z
186,Item Epsilon,4841.29,B,2025-01-17T12:43:57Z
187,Item Theta,891.13,C,2025-01-02T09:46:44Z
188,Item Delta,3896.33,A,2025-01-22T23:10:01Z
189,Item Alpha,4463.09,B,2025-01-10T18:41:34Z
190,Item Epsilon,4609.63,A,2025-01-14T03:58:00Z
191,Item Gamma,3920.84,A,2025-01-22T12:57:56Z
192,Item Beta,332.05,C,2025-01-27T20:39:27Z
193,Item Theta,2146.78,B,2025-01-12T19:22:46Z
194,Item Epsilon,2371.26,C,2025-01-23T14:39:03Z
195,Item Gamma,3387.2,B,2025-01-26T15:10:11Z
196,Item Epsilon,2603.36,A,2025-01-20T23:17:12Z
197,Item Gamma,126.85,A,2025-01-16T03:45:40Z
198,Item Theta,4373.73,B,2025-01-04T14:26:50Z
199,Item Eta,1006.56,A,2025-01-12T15:45:00Z
200,Item Gamma,1511.1,B,2025-01-19T14:02:21Z
201,Item Eta,874.44,C,2025-01-03T17:55:55Z
202,Item Delta,3065.08,A,2025-01-19T17:45:07Z
203,Item Delta,4500.68,B,2025-01-30T07:23:52Z
204,Item Beta,3653.98,A,2025-01-11T11:28:38Z
205,Item Theta,2748.89,A,2025-01-30T01:25:09Z
206,Item Theta,4572.67,A,2025-01-28T03:39:30Z
207,Item Gamma,3783.97,C,2025-01-02T21:11:41Z
208,Item Delta,1195.78,C,2025-01-08T03:11:54Z
209,Item Eta,1266.37,B,2025-01-11T22:50:27Z
210,Item Gamma,414.5,A,2025-01-12T18:07:26Z
211,Item Epsilon,2928.38,A,2025-01-29T06:41:18Z
212,Item Epsilon,2437.78,B,2025-01-10T03:19:42Z
213,Item Zeta,101.07,A,2025-01-19T07:08:44Z
214,Item Zeta,1023.55,C,2025-01-26T14:11:22Z
215,Item Beta,1856.32,C,2025-01-28T21:20:19Z
216,Item Beta,1523.14,B,2025-01-13T13:46:38Z
217,Item Delta,4228.9,C,2025-01-02T12:24:56Z
218,Item Delta,4052.91,A,2025-01-14T23:24:38Z
219,Item Alpha,1250.72,C,2025-01-23T08:59:33Z
220,Item Zeta,2497.47,B,2025-01-27T23:56:08Z
221,Item Zeta,1243.39,B,2025-01-29T04:47:26Z
222,Item Beta,1144.12,A,2025-01-19T21:19:27Z
223,Item Epsilon,2643.97,A,2025-01-24T21:28:27Z
224,Item Delta,1771.92,A,2025-01-27T16:55:29Z
225,Item Zeta,3048.68,B,2025-01-03T07:48:51Z
226,Item Epsilon,4380.32,B,2025-01-19T12:08:20Z
227,Item Theta,296.59,C,2025-01-19T15:00:54Z
228,Item Gamma,736.73,A,2025-01-10T09:23:46Z
229,Item Beta,675.14,A,2025-01-14T07:18:18Z
230,Item Zeta,3809.89,C,2025-01-01T09:05:10Z
231,Item Epsilon,2415.64,C,2025-01-20T17:11:55Z
232,Item Epsilon,598.71,A,2025-01-16T03:06:32Z
233,Item Theta,972.44,C,2025-01-25T11:05:56Z
234,Item Gamma,2622.46,A,2025-01-23T21:21:58Z
235,Item Eta,3186.1,A,2025-01-09T10:32:27Z
236,Item Zeta,1348.6,C,2025-01-27T09:38:53Z
237,Item Epsilon,2378.72,B,2025-01-29T19:32:31Z
238,Item Alpha,1312.3,A,2025-01-21T13:23:27Z
239,Item Gamma,2594.56,C,2025-01-17T08:54:35Z
240,Item Eta,2604.33,B,2025-01-28T01:20:34Z
241,Item Eta,1265.71,A,2025-01-10T15:20:00Z
242,Item Epsilon,1463.82,A,2025-01-13T03:18:51Z
243,Item Beta,2799.69,A,2025-01-12T15:13:40Z
244,Item Gamma,1092.34,C,2025-01-19T20:09:35Z
245,Item Zeta,1546.49,A,2025-01-09T20:58:46Z
246,Item Delta,1136.2,B,2025-01-24T01:47:14Z
247,Item Zeta,2755.02,C,2025-01-02T07:34:06Z
248,Item Alpha,967.27,B,2025-01-24T23:20:55Z
249,Item Alpha,1102.74,B,2025-01-20T06:06:28Z
250,Item Eta,4519.92,C,2025-01-30T13:08:30Z
251,Item Theta,2233.93,C,2025-01-15T22:09:49Z
252,Item Theta,586.48,A,2025-01-02T11:15:11Z
253,Item Theta,2386.71,B,2025-01-25T01:08:47Z
254,Item Beta,1232.76,C,2025-01-07T14:10:10Z
255,Item Zeta,1048.19,A,2025-01-20T03:40:06Z
256,Item Zeta,3994.05,C,2025-01-10T06:56:06Z
257,Item Delta,2084.3,B,2025-01-21T05:10:50Z
258,Item Theta,792.39,C,2025-01-24T04:39:09Z
259,Item Epsilon,372.48,B,2025-01-08T18:15:01Z
260,Item Zeta,837.36,C,2025-01-25T20:43:38Z
261,Item Gamma,4464.15,A,2025-01-24T01:12:01Z
262,Item Alpha,2909.1,B,2025-01-03T10:00:09Z
263,Item Alpha,3915.91,A,2025-01-09T08:45:53Z
264,Item Theta,1052.88,C,2025-01-11T12:23:14Z
265,Item Beta,1899.72,C,2025-01-17T05:29:49Z
266,Item Epsilon,1249.92,B,2025-01-16T10:18:52Z
267,Item Epsilon,219.11,B,2025-01-01T06:04:49Z
268,Item Zeta,2894.97,C,2025-01-26T19:01:20Z
269,Item Epsilon,2392.85,C,2025-01-27T04:53:05Z
270,Item Zeta,4349.84,B,2025-01-25T10:48:42Z
271,Item Delta,4623.69,B,2025-01-14T01:04:21Z
272,Item Alpha,1980.02,C,2025-01-27T23:03:23Z
273,Item Zeta,4766.69,B,2025-01-29T22:34:53Z
274,Item Alpha,1770.29,B,2025-01-07T02:42:04Z
275,Item Zeta,1584.08,C,2025-01-17T07:56:30Z
276,Item Gamma,4699.42,A,2025-01-05T06:37:43Z
277,Item Theta,1689.8,A,2025-01-04T03:12:19Z
278,Item Beta,2596.93,B,2025-01-04T21:50:07Z
279,Item Eta,148.21,C,2025-01-14T22:24:54Z
280,Item Gamma,2166.32,C,2025-01-07T01:00:27Z
281,Item Delta,2594.16,B,2025-01-23T00:39:48Z
282,Item Eta,4869.63,C,2025-01-20T21:53:57Z
283,Item Alpha,1181.34,A,2025-01-17T16:48:44Z
284,Item Beta,284.02,A,2025-01-15T15:07:59Z
285,Item Zeta,1192.5,C,2025-01-15T17:28:21Z
286,Item Theta,2731.58,B,2025-01-04T07:30:14Z
287,Item Theta,337.79,B,2025-01-18T16:44:28Z
288,Item Epsilon,1383.41,A,2025-01-05T19:37:46Z
289,Item Gamma,1511.42,C,2025-01-14T04:23:15Z
290,Item Zeta,2985.96,C,2025-01-25T14:38:39Z
291,Item Epsilon,3962.69,B,2025-01-12T13:13:23Z
292,Item Beta,1417.02,B,2025-01-25T07:44:19Z
293,Item Zeta,384.77,A,2025-01-20T14:54:27Z
294,Item Theta,3504.69,B,2025-01-17T13:59:30Z
295,Item Beta,4469.78,C,2025-01-19T17:28:38Z
296,Item Beta,1147.66,C,2025-01-07T05:06:52Z
297,Item Eta,1463.01,B,2025-01-18T11:26:48Z
298,Item Epsilon,3183.35,B,2025-01-08T08:02:36Z
299,Item Beta,2698.4,A,2025-01-10T20:55:52Z
300,Item Beta,2260.19,C,2025-01-18T03:58:57Z
301,Item Delta,4774.76,C,2025-01-13T19:01:24Z
302,Item Alpha,4095.2,A,2025-01-12T18:47:18Z
303,Item Delta,4611.97,B,2025-01-25T22:14:12Z
304,Item Beta,128.75,A,2025-01-19T21:55:23Z
305,Item Gamma,3898.77,B,2025-01-03T18:03:36Z
306,Item Zeta,3248.78,C,2025-01-08T11:53:28Z
307,Item Zeta,594.53,C,2025-01-21T06:20:29Z
308,Item Gamma,4342.17,A,2025-01-10T15:38:54Z
309,Item Eta,2662.23,A,2025-01-28T11:50:21Z
310,Item Epsilon,2906.41,A,2025-01-03T17:15:42Z
311,Item Theta,1187.69,B,2025-01-04T19:45:59Z
312,Item Delta,1739.76,C,2025-01-18T23:17:04Z
313,Item Gamma,578.02,A,2025-01-04T06:43:07Z
314,Item Beta,1570.51,B,2025-01-05T03:20:09Z
315,Item Alpha,1125.31,C,2025-01-24T00:05:48Z
316,Item Zeta,2374.8,C,2025-01-09T08:16:52Z
317,Item Eta,1935.37,C,2025-01-27T02:54:27Z
318,Item Epsilon,4629.44,A,2025-01-06T01:45:06Z
319,Item Beta,3303.83,A,2025-01-20T19:57:10Z
320,Item Epsilon,1355.83,B,2025-01-17T16:07:50Z
321,Item Gamma,1511.45,C,2025-01-04T17:44:51Z
322,Item Zeta,4636.98,B,2025-01-15T23:35:59Z
323,Item Zeta,1688.33,C,2025-01-19T12:18:50Z
324,Item Zeta,1925.98,B,2025-01-20T23:17:06Z
325,Item Beta,934.92,A,2025-01-02T18:10:39Z
326,Item Alpha,829.48,B,2025-01-06T14:08:58Z
327,Item Epsilon,4937.68,C,2025-01-22T23:52:11Z
328,Item Beta,2322.02,A,2025-01-25T04:33:15Z
329,Item Gamma,4984.44,B,2025-01-15T17:59:28Z
330,Item Epsilon,2821.43,B,2025-01-22T16:27:26Z
331,Item Theta,2360.47,B,2025-01-23T08:12:40Z
332,Item Delta,142.09,A,2025-01-24T11:47:16Z
333,Item Zeta,1458.48,B,2025-01-03T13:28:50Z
334,Item Eta,3560.41,C,2025-01-18T21:19:56Z
335,Item Theta,3593.24,B,2025-01-09T03:07:40Z
336,Item Beta,1982.54,C,2025-01-21T07:46:09Z
337,Item Delta,3592.5,B,2025-01-11T19:54:46Z
338,Item Theta,2600.37,A,2025-01-14T21:45:47Z
339,Item Epsilon,383.13,A,2025-01-04T05:34:55Z
340,Item Theta,4512.13,B,2025-01-23T02:03:14Z
341,Item Gamma,3975.07,C,2025-01-25T18:19:59Z
342,Item Theta,464.05,A,2025-01-06T04:05:22Z
343,Item Eta,2309.57,A,2025-01-20T15:17:01Z
344,Item Gamma,4247.19,B,2025-01-17T15:38:09Z
345,Item Gamma,4566.98,C,2025-01-24T15:55:13Z
346,Item Zeta,3455.67,C,2025-01-05T07:15:13Z
347,Item Eta,1988.95,A,2025-01-29T10:04:00Z
348,Item Gamma,3251.13,A,2025-01-03T05:45:49Z
349,Item Beta,4683.41,A,2025-01-03T18:59:50Z
350,Item Beta,2667.79,A,2025-01-05T14:02:30Z
351,Item Zeta,680.12,A,2025-01-05T09:52:44Z
352,Item Beta,4700.41,C,2025-01-27T21:47:49Z
353,Item Zeta,2953.41,B,2025-01-21T08:59:29Z
354,Item Beta,780.9,B,2025-01-04T14:40:18Z
355,Item Alpha,2910.24,C,2025-01-22T09:07:16Z
356,Item Epsilon,4811.72,C,2025-01-17T04:35:02Z
357,Item Theta,1208.81,B,2025-01-14T23:17:11Z
358,Item Delta,827.1,B,2025-01-25T00:03:25Z
359,Item Alpha,3145.01,A,2025-01-14T17:30:30Z
360,Item Delta,4485.56,C,2025-01-06T03:26:34Z
361,Item Theta,770.37,B,2025-01-16T12:52:06Z
362,Item Gamma,2768.85,A,2025-01-27T21:40:47Z
363,Item Delta,4947.71,C,2025-01-09T16:25:38Z
364,Item Eta,1245.48,B,2025-01-19T15:39:09Z
365,Item Epsilon,2295.95,C,2025-01-04T14:15:55Z
366,Item Gamma,4424.73,B,2025-01-28T15:04:54Z
367,Item Theta,3953.78,A,2025-01-22T01:24:39Z
368,Item Theta,2530.68,C,2025-01-13T07:32:00Z
369,Item Eta,4993.14,A,2025-01-04T19:27:30Z
370,Item Gamma,198.04,B,2025-01-14T19:45:13Z
371,Item Eta,4864.01,B,2025-01-09T00:13:15Z
372,Item Alpha,3391.08,B,2025-01-20T07:53:08Z
373,Item Beta,2906.01,B,2025-01-03T00:07:47Z
374,Item Epsilon,4408.38,C,2025-01-25T06:48:51Z
375,Item Eta,1493.98,B,2025-01-10T13:08:00Z
376,Item Epsilon,1445.77,B,2025-01-02T08:25:22Z
377,Item Delta,807.63,B,2025-01-11T13:57:21Z
378,Item Eta,2709.35,A,2025-01-14T05:19:05Z
379,Item Theta,4740.71,A,2025-01-13T13:58:17Z
380,Item Epsilon,2105.79,A,2025-01-14T10:08:32Z
381,Item Theta,1644.62,B,2025-01-21T21:50:37Z
382,Item Alpha,3503.08,B,2025-01-02T19:20:16Z
383,Item Epsilon,2674.99,A,2025-01-12T16:24:34Z
384,Item Zeta,310.86,A,2025-01-23T16:43:20Z
385,Item Zeta,1058.27,B,2025-01-15T04:21:11Z
386,Item Beta,4550.56,A,2025-01-01T21:35:45Z
387,Item Gamma,4221.82,A,2025-01-13T13:48:46Z
388,Item Epsilon,4690.52,B,2025-01-18T20:34:11Z
389,Item Eta,4423.94,B,2025-01-22T21:31:49Z
390,Item Zeta,931.09,C,2025-01-06T03:40:31Z
391,Item Theta,1967.42,B,2025-01-15T05:47:17Z
392,Item Eta,3391.12,A,2025-01-03T05:08:37Z
393,Item Eta,2363.05,B,2025-01-27T06:48:37Z
394,Item Theta,554.0,B,2025-01-03T09:12:26Z
395,Item Delta,1104.27,A,2025-01-03T19:24:09Z
396,Item Eta,3810.16,C,2025-01-25T23:41:59Z
397,Item Theta,1305.93,C,2025-01-08T05:25:03Z
398,Item Beta,1238.12,B,2025-01-07T18:18:16Z
399,Item Eta,699.03,A,2025-01-01T16:22:42Z
400,Item Theta,390.19,B,2025-01-12T15:57:42Z
401,Item Delta,4451.13,B,2025-01-27T17:24:14Z
402,Item Gamma,3118.35,C,2025-01-27T09:16:19Z
403,Item Zeta,2025.06,C,2025-01-16T22:11:37Z
404,Item Epsilon,398.39,C,2025-01-24T07:05:52Z
405,Item Gamma,2983.05,C,2025-01-03T04:36:46Z
406,Item Eta,909.01,C,2025-01-19T22:47:41Z
407,Item Zeta,4034.24,A,2025-01-11T06:54:32Z
408,Item Zeta,4779.46,B,2025-01-23T14:43:51Z
409,Item Alpha,1758.06,C,2025-01-16T05:37:43Z
410,Item Zeta,549.82,B,2025-01-04T17:50:52Z
411,Item Epsilon,4313.93,C,2025-01-20T13:24:01Z
412,Item Delta,1577.79,B,2025-01-02T18:14:31Z
413,Item Zeta,1715.65,A,2025-01-14T03:53:38Z
414,Item Zeta,4922.69,A,2025-01-30T00:23:39Z
415,Item Epsilon,2680.25,C,2025-01-14T09:02:18Z
416,Item Eta,2952.44,B,2025-01-05T17:55:35Z
417,Item Eta,2716.56,C,2025-01-14T01:29:17Z
418,Item Gamma,1884.43,C,2025-01-04T11:25:18Z
419,Item Epsilon,444.65,B,2025-01-24T17:47:48Z
420,Item Zeta,2360.99,A,2025-01-18T08:37:08Z
421,Item Beta,107.03,B,2025-01-28T20:42:38Z
422,Item Beta,1084.26,C,2025-01-12T11:56:21Z
423,Item Epsilon,3549.63,C,2025-01-02T21:32:03Z
424,Item Epsilon,1552.89,B,2025-01-13T16:25:14Z
425,Item Epsilon,4409.5,C,2025-01-15T23:33:07Z
426,Item Gamma,2669.31,C,2025-01-07T08:10:33Z
427,Item Delta,1565.6,C,2025-01-28T15:18:39Z
428,Item Alpha,4994.0,B,2025-01-16T07:01:19Z
429,Item Eta,4594.27,A,2025-01-02T14:33:14Z
430,Item Eta,766.83,C,2025-01-03T06:42:05Z
431,Item Beta,2806.33,C,2025-01-22T05:21:08Z
432,Item Alpha,3881.29,C,2025-01-12T14:26:40Z
433,Item Epsilon,1812.88,B,2025-01-01T10:29:05Z
434,Item Delta,2470.61,A,2025-01-09T10:49:55Z
435,Item Zeta,3808.12,A,2025-01-16T15:32:40Z
436,Item Beta,3455.51,B,2025-01-05T20:56:55Z
437,Item Delta,431.41,C,2025-01-18T11:29:28Z
438,Item Zeta,2219.21,A,2025-01-19T06:39:27Z
439,Item Theta,4006.8,C,2025-01-29T05:20:21Z
440,Item Delta,4370.78,B,2025-01-25T16:25:07Z
441,Item Eta,4731.21,B,2025-01-10T09:10:34Z
442,Item Theta,4156.63,A,2025-01-19T10:01:23Z
443,Item Delta,2031.29,B,2025-01-20T20:17:09Z
444,Item Zeta,4866.6,B,2025-01-23T01:28:42Z
445,Item Alpha,240.35,C,2025-01-10T20:01:27Z
446,Item Alpha,956.36,C,2025-01-11T20:11:21Z
447,Item Beta,4726.28,A,2025-01-28T04:09:38Z
448,Item Epsilon,2025.08,B,2025-01-13T15:08:24Z
449,Item Gamma,1480.2,C,2025-01-17T23:22:37Z
450,Item Delta,3850.75,C,2025-01-05T04:34:06Z
451,Item Alpha,1840.77,C,2025-01-15T22:06:42Z
452,Item Eta,3432.4,B,2025-01-14T19:16:47Z
453,Item Alpha,2806.95,B,2025-01-28T05:27:50Z
454,Item Epsilon,803.01,C,2025-01-25T08:53:24Z
455,Item Zeta,196.83,A,2025-01-12T23:00:05Z
456,Item Alpha,3434.31,C,2025-01-25T02:29:15Z
457,Item Theta,1519.66,B,2025-01-11T14:35:22Z
458,Item Gamma,880.04,A,2025-01-19T11:16:06Z
